Title,Read Status
dont touch kando san,plan_to_read
skip to loafer,plan_to_read
"at that time, the battle began",plan_to_read
my charms are wasted on kuroiwa,plan_to_read
shigure-san wants to shine,plan_to_read
"see you later, fantasy world. we hope that tomorrow comes again",plan_to_read
Kimi no Okasan o Boku Ni Kudasa,plan_to_read
shiro kuro neko,plan_to_read
tsuka no ma no ichika,plan_to_read
Shinde Kara Honki Dasu,plan_to_read
