Title,Read Status
Tensei Kyuuketsuki-san wa Ohirune ga Shitai,plan_to_read
Midara na Ao-chan wa Benkyou ga Dekinai,plan_to_read
Seitokai Yakuindomo,plan_to_read
Urushiha Sarara wa Koi Nado Shinai,plan_to_read
Edens Zero,plan_to_read
The World God Only Knows,plan_to_read
Watashi ni Tenshi ga Maiorita!,plan_to_read
Dead Dead Demon's Dededede Destruction,plan_to_read
"It's Fun Having a 300,000 Yen a Month Job Welcoming Home an Onee-san Who Doesn't Find Meaning in a Job That Pays Her 500,000 Yen a Month",plan_to_read
Tearmoon Empire Story,plan_to_read
Yotsuba to!,plan_to_read
Kimi to Tsuzuru Utakata,plan_to_read
Edomae Elf,plan_to_read
Is It Tough Being a Friend?,plan_to_read
Is It Odd That I Became an Adventurer Even If I Graduated From the Witchcraft Institute?,plan_to_read
Danchigai,plan_to_read
Nana Shimazaki@Looking for Work,plan_to_read
"Sensei, Ore ni Kamawazu Itte Kudasai!!",plan_to_read
Himeno-chan ni Koi wa Mada Hayai,plan_to_read
Mieruko-chan,plan_to_read
Jibaku Shounen Hanako-kun,plan_to_read
Ojousama no Shimobe,plan_to_read
Ase to Sekken,plan_to_read
"Kanojo, Hitomishirimasu",plan_to_read
Yin Yori Danjo wa Nakanaka Susumenai,plan_to_read
Tadokoro-san (Web Comic),plan_to_read
Dosanko Gyaru Is Mega Cute,plan_to_read
The Fate of the Returned Hero,plan_to_read
Youko x Boku SS,plan_to_read
Yankee-kun to Hakujou Gaaru,plan_to_read
Dachi no Imouto,plan_to_read
Dungeon Reset,plan_to_read
Omaera Zenin Mendokusai!,plan_to_read
Yakusoku no Neverland,plan_to_read
Enen no Shouboutai,plan_to_read
Joshikousei to Seishokusha-san,plan_to_read
Mobuko no Koi,plan_to_read
Ashita wa Doyoubi,plan_to_read
Hyakunichikan!!,plan_to_read
Isekai Apocalypse MYNOGHRA ~The Conquest of the World Starts With the Civilisation of Ruin~,plan_to_read
Hanging Out with a Gamer Girl,plan_to_read
Fumetsu no Anata e,plan_to_read
Bokura wa Minna Kawai-sou,plan_to_read
"Please Put These on, Takamine-san",plan_to_read
Itoshi no Sakura-san,plan_to_read
Ookami Shounen wa Kyou mo Uso o Kasaneru,plan_to_read
The Executed Sage Is Reincarnated as a Lich and Starts an All-Out War,plan_to_read
Boku no Kanojo wa Saikoudesu!,plan_to_read
Slow Start,plan_to_read
No Guard Wife,plan_to_read
Hino-san no Baka,plan_to_read
